#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.213  6.700485113e-44  4.486748064e+16  
   2.214  6.718309636e-44  4.486748064e+16  
   2.215  6.736151957e-44  4.482519273e+16  
   2.216  6.75401208e-44   4.465604106e+16  
   2.217  6.771890015e-44  4.461375314e+16  
   2.218  6.789785769e-44  4.457146522e+16  
   2.219  6.807699347e-44  4.45291773e+16   
   2.22   6.825630759e-44  4.45291773e+16   
   2.221  6.84358001e-44   4.444460147e+16  
   2.222  6.861547108e-44  4.444460147e+16  
   2.223  6.879532059e-44  4.42754498e+16   
   2.224  6.897534871e-44  4.423316188e+16  
   2.225  6.91555555e-44   4.423316188e+16  
   2.226  6.933594104e-44  4.419087396e+16  
   2.227  6.951650538e-44  4.419087396e+16  
   2.228  6.96972486e-44   4.414858604e+16  
   2.229  6.987817076e-44  4.414858604e+16  
   2.23   7.005927193e-44  4.410629813e+16  
   2.231  7.024055218e-44  4.410629813e+16  
   2.232  7.042201156e-44  4.406401021e+16  
   2.233  7.060365015e-44  4.406401021e+16  
   2.234  7.0785468e-44    4.402172229e+16  
   2.235  7.096746519e-44  4.402172229e+16  
   2.236  7.114964177e-44  4.397943437e+16  
   2.237  7.13319978e-44   4.393714646e+16  
   2.238  7.151453336e-44  4.393714646e+16  
   2.239  7.169724849e-44  4.389485854e+16  
   2.24   7.188014326e-44  4.389485854e+16  
   2.241  7.206321774e-44  4.385257062e+16  
   2.242  7.224647197e-44  4.372570687e+16  
   2.243  7.242990603e-44  4.372570687e+16  
   2.244  7.261351997e-44  4.372570687e+16  
   2.245  7.279731385e-44  4.368341895e+16  
   2.246  7.298128773e-44  4.368341895e+16  
   2.247  7.316544166e-44  4.359884311e+16  
   2.248  7.334977571e-44  4.359884311e+16  
   2.249  7.353428993e-44  4.359884311e+16  
   2.25   7.371898437e-44  4.292223643e+16  
   2.251  7.39038591e-44   4.292223643e+16  
   2.252  7.408891417e-44  4.292223643e+16  
   2.253  7.427414964e-44  4.287994851e+16  
   2.254  7.445956556e-44  4.287994851e+16  
   2.255  7.464516198e-44  4.28376606e+16   
   2.256  7.483093896e-44  4.28376606e+16   
   2.257  7.501689656e-44  4.279537268e+16  
   2.258  7.520303482e-44  4.279537268e+16  
   2.259  7.53893538e-44   4.275308476e+16  
   2.26   7.557585356e-44  4.275308476e+16  
   2.261  7.576253414e-44  4.271079684e+16  
   2.262  7.59493956e-44   4.271079684e+16  
   2.263  7.613643799e-44  4.266850893e+16  
