# Created by O. Kyzylova
# U235 cross-section and spectrum from Huber model
# 0-2, 8-10 MeV - parametrization based on parametrization formula from Huber article
# 2-8 MeV - spline interpolation based on table data points from Huber article
# AntiNuEnergy	IBDCrossSection	AntiNuFlux


3.615	5.00705E-43	1.26393E17
3.625	5.05137E-43	1.2529E17
3.635	5.09588E-43	1.24187E17
3.645	5.14058E-43	1.23085E17
3.655	5.18547E-43	1.21982E17
3.665	5.23055E-43	1.20879E17
3.675	5.27582E-43	1.19776E17
3.685	5.32128E-43	1.18673E17
3.695	5.36693E-43	1.17571E17
3.705	5.41277E-43	1.16468E17
3.715	5.4588E-43	1.15365E17
3.725	5.50503E-43	1.14262E17
3.735	5.55144E-43	1.13159E17
3.745	5.59804E-43	1.12057E17
3.755	5.64483E-43	1.11076E17
3.765	5.69182E-43	1.10219E17
3.775	5.73899E-43	1.09361E17
3.785	5.78635E-43	1.08503E17
3.795	5.83391E-43	1.07645E17
3.805	5.88165E-43	1.06788E17
3.815	5.92958E-43	1.0593E17
3.825	5.97771E-43	1.05072E17
3.835	6.02602E-43	1.04214E17
3.845	6.07453E-43	1.03357E17
3.855	6.12322E-43	1.02499E17
3.865	6.17211E-43	1.01641E17
3.875	6.22119E-43	1.00784E17
3.885	6.27045E-43	9.99258E16
3.895	6.31991E-43	9.90681E16
3.905	6.36956E-43	9.82104E16
3.915	6.41939E-43	9.73526E16
3.925	6.46942E-43	9.64949E16
3.935	6.51964E-43	9.56372E16
3.945	6.57005E-43	9.47794E16
3.955	6.62064E-43	9.39217E16
3.965	6.67143E-43	9.3064E16
3.975	6.72241E-43	9.22062E16
3.985	6.77358E-43	9.13485E16
3.995	6.82494E-43	9.04908E16
4.005	6.87649E-43	8.96698E16
4.015	6.92823E-43	8.88856E16
4.025	6.98016E-43	8.81014E16
4.035	7.03228E-43	8.73172E16
4.045	7.08459E-43	8.6533E16
4.055	7.13709E-43	8.57487E16
4.065	7.18978E-43	8.49645E16
4.075	7.24267E-43	8.41803E16
4.085	7.29574E-43	8.33961E16
4.095	7.349E-43	8.26119E16
4.105	7.40245E-43	8.18277E16
4.115	7.4561E-43	8.10435E16
4.125	7.50993E-43	8.02593E16
4.135	7.56395E-43	7.9475E16
4.145	7.61817E-43	7.86908E16
4.155	7.67257E-43	7.79066E16
4.165	7.72717E-43	7.71224E16
4.175	7.78195E-43	7.63382E16
4.185	7.83693E-43	7.5554E16
4.195	7.89209E-43	7.47698E16
4.205	7.94745E-43	7.39856E16
4.215	8.003E-43	7.32013E16
4.225	8.05873E-43	7.24171E16
4.235	8.11466E-43	7.16329E16
4.245	8.17078E-43	7.08487E16
4.255	8.22709E-43	7.01441E16
4.265	8.28358E-43	6.95192E16
4.275	8.34027E-43	6.88943E16
4.285	8.39715E-43	6.82694E16
4.295	8.45422E-43	6.76445E16
4.305	8.51148E-43	6.70195E16
4.315	8.56893E-43	6.63946E16
4.325	8.62657E-43	6.57697E16
4.335	8.6844E-43	6.51448E16
4.345	8.74242E-43	6.45199E16
4.355	8.80063E-43	6.38949E16
4.365	8.85903E-43	6.327E16
4.375	8.91763E-43	6.26451E16
4.385	8.97641E-43	6.20202E16
4.395	9.03538E-43	6.13953E16
4.405	9.09454E-43	6.07703E16
4.415	9.1539E-43	6.01454E16
4.425	9.21344E-43	5.95205E16
4.435	9.27317E-43	5.88956E16
4.445	9.3331E-43	5.82707E16
4.455	9.39321E-43	5.76457E16
4.465	9.45352E-43	5.70208E16
4.475	9.51401E-43	5.63959E16
4.485	9.5747E-43	5.5771E16
4.495	9.63557E-43	5.51461E16
4.505	9.69664E-43	5.45824E16
4.515	9.7579E-43	5.408E16
4.525	9.81934E-43	5.35776E16
4.535	9.88098E-43	5.30753E16
4.545	9.94281E-43	5.25729E16
4.555	1.00048E-42	5.20705E16
4.565	1.0067E-42	5.15681E16
4.575	1.01294E-42	5.10657E16
4.585	1.0192E-42	5.05633E16
4.595	1.02548E-42	5.00609E16
4.605	1.03178E-42	4.95586E16
4.615	1.03809E-42	4.90562E16
4.625	1.04443E-42	4.85538E16
4.635	1.05078E-42	4.80514E16
4.645	1.05716E-42	4.7549E16
4.655	1.06355E-42	4.70466E16
4.665	1.06996E-42	4.65442E16
4.675	1.07639E-42	4.60419E16
4.685	1.08284E-42	4.55395E16
4.695	1.08931E-42	4.50371E16
4.705	1.09579E-42	4.45347E16
4.715	1.1023E-42	4.40323E16
4.725	1.10883E-42	4.35299E16
4.735	1.11537E-42	4.30275E16
4.745	1.12193E-42	4.25252E16
4.755	1.12852E-42	4.21024E16
4.765	1.13512E-42	4.17593E16
4.775	1.14174E-42	4.14162E16
4.785	1.14838E-42	4.10731E16
4.795	1.15504E-42	4.073E16
4.805	1.16171E-42	4.03869E16
4.815	1.16841E-42	4.00439E16
4.825	1.17513E-42	3.97008E16
4.835	1.18186E-42	3.93577E16
4.845	1.18862E-42	3.90146E16
4.855	1.19539E-42	3.86715E16
4.865	1.20218E-42	3.83284E16
4.875	1.20899E-42	3.79853E16
4.885	1.21582E-42	3.76422E16
4.895	1.22267E-42	3.72991E16
4.905	1.22954E-42	3.6956E16
4.915	1.23643E-42	3.66129E16
4.925	1.24333E-42	3.62698E16
4.935	1.25026E-42	3.59267E16
4.945	1.2572E-42	3.55836E16
4.955	1.26416E-42	3.52406E16
4.965	1.27115E-42	3.48975E16
4.975	1.27815E-42	3.45544E16
4.985	1.28517E-42	3.42113E16
4.995	1.29221E-42	3.38682E16
5.005	1.29927E-42	3.3552E16
5.015	1.30634E-42	3.32629E16
5.025	1.31344E-42	3.29737E16
5.035	1.32056E-42	3.26845E16
5.045	1.32769E-42	3.23953E16
5.055	1.33484E-42	3.21062E16
5.065	1.34202E-42	3.1817E16
5.075	1.34921E-42	3.15278E16
5.085	1.35642E-42	3.12386E16
5.095	1.36365E-42	3.09494E16
5.105	1.3709E-42	3.06603E16
5.115	1.37817E-42	3.03711E16
5.125	1.38545E-42	3.00819E16
5.135	1.39276E-42	2.97927E16
5.145	1.40008E-42	2.95035E16
5.155	1.40743E-42	2.92144E16
5.165	1.41479E-42	2.89252E16
5.175	1.42217E-42	2.8636E16
5.185	1.42957E-42	2.83468E16
5.195	1.43699E-42	2.80577E16
5.205	1.44443E-42	2.77685E16
5.215	1.45189E-42	2.74793E16
5.225	1.45937E-42	2.71901E16
5.235	1.46687E-42	2.69009E16
5.245	1.47438E-42	2.66118E16
5.255	1.48192E-42	2.63336E16
5.265	1.48947E-42	2.60665E16
5.275	1.49704E-42	2.57994E16
5.285	1.50463E-42	2.55322E16
5.295	1.51224E-42	2.52651E16
5.305	1.51987E-42	2.4998E16
5.315	1.52752E-42	2.47309E16
5.325	1.53519E-42	2.44638E16
5.335	1.54288E-42	2.41966E16
5.345	1.55058E-42	2.39295E16
5.355	1.55831E-42	2.36624E16
5.365	1.56605E-42	2.33953E16
5.375	1.57381E-42	2.31281E16
5.385	1.58159E-42	2.2861E16
5.395	1.5894E-42	2.25939E16
5.405	1.59722E-42	2.23268E16
5.415	1.60505E-42	2.20597E16
5.425	1.61291E-42	2.17925E16
5.435	1.62079E-42	2.15254E16
5.445	1.62869E-42	2.12583E16
5.455	1.6366E-42	2.09912E16
5.465	1.64454E-42	2.0724E16
5.475	1.65249E-42	2.04569E16
5.485	1.66046E-42	2.01898E16
5.495	1.66845E-42	1.99227E16
5.505	1.67646E-42	1.97058E16
5.515	1.68449E-42	1.95391E16
5.525	1.69254E-42	1.93725E16
5.535	1.70061E-42	1.92059E16
5.545	1.70869E-42	1.90392E16
5.555	1.7168E-42	1.88726E16
5.565	1.72492E-42	1.87059E16
5.575	1.73307E-42	1.85393E16
5.585	1.74123E-42	1.83726E16
5.595	1.74941E-42	1.8206E16
5.605	1.75761E-42	1.80393E16
5.615	1.76583E-42	1.78727E16
5.625	1.77407E-42	1.7706E16
5.635	1.78233E-42	1.75394E16
5.645	1.79061E-42	1.73728E16
5.655	1.7989E-42	1.72061E16
5.665	1.80722E-42	1.70395E16
5.675	1.81555E-42	1.68728E16
5.685	1.8239E-42	1.67062E16
5.695	1.83228E-42	1.65395E16
5.705	1.84067E-42	1.63729E16
5.715	1.84908E-42	1.62062E16
5.725	1.85751E-42	1.60396E16
5.735	1.86596E-42	1.5873E16
5.745	1.87442E-42	1.57063E16
5.755	1.88291E-42	1.55489E16
5.765	1.89141E-42	1.54006E16
5.775	1.89994E-42	1.52523E16
5.785	1.90848E-42	1.51041E16
5.795	1.91704E-42	1.49558E16
5.805	1.92563E-42	1.48075E16
5.815	1.93423E-42	1.46593E16
5.825	1.94285E-42	1.4511E16
5.835	1.95148E-42	1.43627E16
5.845	1.96014E-42	1.42145E16
5.855	1.96882E-42	1.40662E16
5.865	1.97751E-42	1.39179E16
5.875	1.98623E-42	1.37697E16
5.885	1.99496E-42	1.36214E16
5.895	2.00372E-42	1.34731E16
5.905	2.01249E-42	1.33249E16
5.915	2.02128E-42	1.31766E16
5.925	2.03009E-42	1.30283E16
5.935	2.03892E-42	1.28801E16
5.945	2.04777E-42	1.27318E16
5.955	2.05663E-42	1.25835E16
5.965	2.06552E-42	1.24353E16
5.975	2.07442E-42	1.2287E16
5.985	2.08335E-42	1.21388E16
5.995	2.09229E-42	1.19905E16
6.005	2.10125E-42	1.18539E16
6.015	2.11024E-42	1.17289E16
6.025	2.11924E-42	1.16039E16
6.035	2.12826E-42	1.14789E16
6.045	2.13729E-42	1.13539E16
6.055	2.14635E-42	1.12289E16
6.065	2.15543E-42	1.1104E16
6.075	2.16452E-42	1.0979E16
6.085	2.17364E-42	1.0854E16
6.095	2.18277E-42	1.0729E16
6.105	2.19192E-42	1.0604E16
6.115	2.2011E-42	1.0479E16
6.125	2.21029E-42	1.03541E16
6.135	2.2195E-42	1.02291E16
6.145	2.22873E-42	1.01041E16
6.155	2.23797E-42	9.9791E15
6.165	2.24724E-42	9.85412E15
6.175	2.25653E-42	9.72914E15
6.185	2.26583E-42	9.60415E15
6.195	2.27515E-42	9.47917E15
6.205	2.2845E-42	9.35419E15
6.215	2.29386E-42	9.2292E15
6.225	2.30324E-42	9.10422E15
6.235	2.31264E-42	8.97923E15
6.245	2.32206E-42	8.85425E15
6.255	2.3315E-42	8.74887E15
6.265	2.34096E-42	8.6631E15
6.275	2.35043E-42	8.57732E15
6.285	2.35993E-42	8.49155E15
6.295	2.36944E-42	8.40578E15
6.305	2.37898E-42	8.32E15
6.315	2.38853E-42	8.23423E15
6.325	2.3981E-42	8.14846E15
6.335	2.40769E-42	8.06269E15
6.345	2.4173E-42	7.97691E15
6.355	2.42693E-42	7.89114E15
6.365	2.43658E-42	7.80537E15
6.375	2.44624E-42	7.71959E15
6.385	2.45593E-42	7.63382E15
6.395	2.46563E-42	7.54805E15
6.405	2.47536E-42	7.46227E15
6.415	2.4851E-42	7.3765E15
6.425	2.49486E-42	7.29073E15
6.435	2.50464E-42	7.20495E15
6.445	2.51444E-42	7.11918E15
6.455	2.52426E-42	7.03341E15
6.465	2.5341E-42	6.94763E15
6.475	2.54396E-42	6.86186E15
6.485	2.55383E-42	6.77609E15
6.495	2.56373E-42	6.69031E15
6.505	2.57364E-42	6.61312E15
6.515	2.58358E-42	6.5445E15
6.525	2.59353E-42	6.47588E15
6.535	2.6035E-42	6.40726E15
6.545	2.61349E-42	6.33864E15
6.555	2.6235E-42	6.27002E15
6.565	2.63353E-42	6.20141E15
6.575	2.64358E-42	6.13279E15
6.585	2.65364E-42	6.06417E15
6.595	2.66373E-42	5.99555E15
6.605	2.67383E-42	5.92693E15
6.615	2.68396E-42	5.85831E15
6.625	2.6941E-42	5.78969E15
6.635	2.70426E-42	5.72108E15
6.645	2.71444E-42	5.65246E15
6.655	2.72464E-42	5.58384E15
6.665	2.73486E-42	5.51522E15
6.675	2.7451E-42	5.4466E15
6.685	2.75536E-42	5.37798E15
6.695	2.76563E-42	5.30936E15
6.705	2.77593E-42	5.24075E15
6.715	2.78624E-42	5.17213E15
6.725	2.79657E-42	5.10351E15
6.735	2.80693E-42	5.03489E15
6.745	2.8173E-42	4.96627E15
6.755	2.82769E-42	4.90317E15
6.765	2.8381E-42	4.84558E15
6.775	2.84852E-42	4.78799E15
6.785	2.85897E-42	4.73039E15
6.795	2.86944E-42	4.6728E15
6.805	2.87992E-42	4.61521E15
6.815	2.89043E-42	4.55762E15
6.825	2.90095E-42	4.50003E15
6.835	2.91149E-42	4.44244E15
6.845	2.92206E-42	4.38485E15
6.855	2.93264E-42	4.32726E15
6.865	2.94324E-42	4.26967E15
6.875	2.95386E-42	4.21208E15
6.885	2.96449E-42	4.15449E15
6.895	2.97515E-42	4.0969E15
6.905	2.98583E-42	4.03931E15
6.915	2.99652E-42	3.98172E15
6.925	3.00723E-42	3.92413E15
6.935	3.01797E-42	3.86654E15
6.945	3.02872E-42	3.80894E15
6.955	3.03949E-42	3.75135E15
6.965	3.05028E-42	3.69376E15
6.975	3.06109E-42	3.63617E15
6.985	3.07192E-42	3.57858E15
6.995	3.08276E-42	3.52099E15
7.005	3.09363E-42	3.46628E15
7.015	3.10452E-42	3.41445E15
7.025	3.11542E-42	3.36262E15
7.035	3.12634E-42	3.31079E15
7.045	3.13729E-42	3.25895E15
7.055	3.14825E-42	3.20712E15
7.065	3.15923E-42	3.15529E15
7.075	3.17023E-42	3.10346E15
7.085	3.18125E-42	3.05163E15
7.095	3.19228E-42	2.9998E15
7.105	3.20334E-42	2.94797E15
7.115	3.21442E-42	2.89613E15
7.125	3.22551E-42	2.8443E15
7.135	3.23662E-42	2.79247E15
7.145	3.24776E-42	2.74064E15
7.155	3.25891E-42	2.68881E15
7.165	3.27008E-42	2.63698E15
7.175	3.28127E-42	2.58514E15
7.185	3.29248E-42	2.53331E15
7.195	3.30371E-42	2.48148E15
7.205	3.31495E-42	2.42965E15
7.215	3.32622E-42	2.37782E15
7.225	3.3375E-42	2.32599E15
7.235	3.34881E-42	2.27416E15
7.245	3.36013E-42	2.22232E15
7.255	3.37147E-42	2.18091E15
7.265	3.38284E-42	2.14991E15
7.275	3.39422E-42	2.11891E15
7.285	3.40561E-42	2.0879E15
7.295	3.41703E-42	2.0569E15
7.305	3.42847E-42	2.0259E15
7.315	3.43993E-42	1.9949E15
7.325	3.4514E-42	1.9639E15
7.335	3.4629E-42	1.9329E15
7.345	3.47441E-42	1.9019E15
7.355	3.48594E-42	1.8709E15
7.365	3.49749E-42	1.8399E15
7.375	3.50907E-42	1.8089E15
7.385	3.52066E-42	1.7779E15
7.395	3.53226E-42	1.74689E15
7.405	3.54389E-42	1.71589E15
7.415	3.55554E-42	1.68489E15
