#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.269  7.726249469e-44  4.053981148e+16  
   2.27   7.7450805e-44    4.051658683e+16  
   2.271  7.763929664e-44  4.049336813e+16  
   2.272  7.782796966e-44  4.047015536e+16  
   2.273  7.801682411e-44  4.044694853e+16  
   2.274  7.820586003e-44  4.042374766e+16  
   2.275  7.839507747e-44  4.040055275e+16  
   2.276  7.858447648e-44  4.037736379e+16  
   2.277  7.87740571e-44   4.03541808e+16   
   2.278  7.896381939e-44  4.033100378e+16  
   2.279  7.915376338e-44  4.030783273e+16  
   2.28   7.934388913e-44  4.028466767e+16  
   2.281  7.953419668e-44  4.026150859e+16  
   2.282  7.972468607e-44  4.02383555e+16   
   2.283  7.991535735e-44  4.021520841e+16  
   2.284  8.010621057e-44  4.019206732e+16  
   2.285  8.029724576e-44  4.016893223e+16  
   2.286  8.048846298e-44  4.014580315e+16  
   2.287  8.067986226e-44  4.012268009e+16  
   2.288  8.087144366e-44  4.009956305e+16  
   2.289  8.10632072e-44   4.007645203e+16  
   2.29   8.125515294e-44  4.005334705e+16  
   2.291  8.144728092e-44  4.003024809e+16  
   2.292  8.163959118e-44  4.000715518e+16  
   2.293  8.183208376e-44  3.998406832e+16  
   2.294  8.20247587e-44   3.99609875e+16   
   2.295  8.221761605e-44  3.993791274e+16  
   2.296  8.241065584e-44  3.991484404e+16  
   2.297  8.260387812e-44  3.98917814e+16   
   2.298  8.279728293e-44  3.986872483e+16  
   2.299  8.299087031e-44  3.984567434e+16  
   2.3    8.318464029e-44  3.982262992e+16  
   2.301  8.337859292e-44  3.979959159e+16  
   2.302  8.357272824e-44  3.977655935e+16  
   2.303  8.376704628e-44  3.97535332e+16   
   2.304  8.396154709e-44  3.973051315e+16  
   2.305  8.41562307e-44   3.970749921e+16  
   2.306  8.435109715e-44  3.968449137e+16  
   2.307  8.454614649e-44  3.966148964e+16  
   2.308  8.474137874e-44  3.963849404e+16  
   2.309  8.493679394e-44  3.961550455e+16  
   2.31   8.513239214e-44  3.959252119e+16  
   2.311  8.532817337e-44  3.956954397e+16  
   2.312  8.552413767e-44  3.954657288e+16  
   2.313  8.572028507e-44  3.952360794e+16  
   2.314  8.591661561e-44  3.950064914e+16  
   2.315  8.611312933e-44  3.947769649e+16  
   2.316  8.630982626e-44  3.945475e+16     
   2.317  8.650670644e-44  3.943180967e+16  
   2.318  8.67037699e-44   3.940887551e+16  
   2.319  8.690101668e-44  3.938594752e+16  
   2.32   8.709844682e-44  3.93630257e+16   
   2.321  8.729606034e-44  3.934011006e+16  
   2.322  8.749385729e-44  3.931720061e+16  
   2.323  8.76918377e-44   3.929429735e+16  
   2.324  8.789000159e-44  3.927140028e+16  
   2.325  8.808834902e-44  3.924850941e+16  
   2.326  8.828688e-44     3.922562475e+16  
   2.327  8.848559457e-44  3.920274629e+16  
   2.328  8.868449278e-44  3.917987404e+16  
   2.329  8.888357464e-44  3.915700802e+16  
   2.33   8.908284019e-44  3.913414821e+16  
   2.331  8.928228947e-44  3.911129464e+16  
   2.332  8.948192251e-44  3.908844729e+16  
   2.333  8.968173934e-44  3.906560619e+16  
   2.334  8.988173998e-44  3.904277132e+16  
   2.335  9.008192449e-44  3.90199427e+16   
   2.336  9.028229287e-44  3.899712033e+16  
   2.337  9.048284518e-44  3.897430422e+16  
   2.338  9.068358143e-44  3.895149436e+16  
   2.339  9.088450166e-44  3.892869077e+16  
   2.34   9.10856059e-44   3.890589345e+16  
   2.341  9.128689418e-44  3.88831024e+16   
   2.342  9.148836653e-44  3.886031763e+16  
   2.343  9.169002298e-44  3.883753915e+16  
   2.344  9.189186356e-44  3.881476695e+16  
   2.345  9.209388831e-44  3.879200104e+16  
   2.346  9.229609724e-44  3.876924143e+16  
   2.347  9.24984904e-44   3.874648813e+16  
   2.348  9.270106781e-44  3.872374113e+16  
   2.349  9.290382949e-44  3.870100043e+16  
   2.35   9.310677548e-44  3.867826606e+16  
   2.351  9.330990581e-44  3.8655538e+16    
   2.352  9.351322051e-44  3.863281627e+16  
   2.353  9.371671959e-44  3.861010087e+16  
   2.354  9.39204031e-44   3.85873918e+16   
   2.355  9.412427106e-44  3.856468906e+16  
   2.356  9.43283235e-44   3.854199267e+16  
   2.357  9.453256044e-44  3.851930263e+16  
   2.358  9.473698192e-44  3.849661894e+16  
   2.359  9.494158796e-44  3.847394161e+16  
   2.36   9.514637859e-44  3.845127063e+16  
   2.361  9.535135383e-44  3.842860602e+16  
   2.362  9.555651371e-44  3.840594778e+16  
   2.363  9.576185826e-44  3.838329591e+16  
   2.364  9.596738751e-44  3.836065043e+16  
   2.365  9.617310148e-44  3.833801132e+16  
   2.366  9.63790002e-44   3.83153786e+16   
   2.367  9.658508369e-44  3.829275228e+16  
   2.368  9.679135198e-44  3.827013235e+16  
   2.369  9.69978051e-44   3.824751882e+16  
   2.37   9.720444307e-44  3.82249117e+16   
   2.371  9.741126591e-44  3.820231098e+16  
   2.372  9.761827366e-44  3.817971668e+16  
   2.373  9.782546634e-44  3.81571288e+16   
   2.374  9.803284397e-44  3.813454734e+16  
   2.375  9.824040658e-44  3.811197231e+16  
   2.376  9.844815419e-44  3.808940371e+16  
   2.377  9.865608683e-44  3.806684155e+16  
   2.378  9.886420452e-44  3.804428583e+16  
   2.379  9.907250728e-44  3.802173655e+16  
   2.38   9.928099514e-44  3.799919372e+16  
   2.381  9.948966813e-44  3.797665735e+16  
   2.382  9.969852627e-44  3.795412743e+16  
   2.383  9.990756958e-44  3.793160398e+16  
   2.384  1.001167981e-43  3.790908699e+16  
   2.385  1.003262118e-43  3.788657648e+16  
   2.386  1.005358108e-43  3.786407244e+16  
   2.387  1.00745595e-43   3.784157488e+16  
   2.388  1.009555645e-43  3.78190838e+16   
   2.389  1.011657193e-43  3.779659921e+16  
   2.39   1.013760595e-43  3.777412112e+16  
   2.391  1.01586585e-43   3.775164952e+16  
   2.392  1.017972959e-43  3.772918443e+16  
   2.393  1.020081922e-43  3.770672584e+16  
   2.394  1.02219274e-43   3.768427376e+16  
   2.395  1.024305411e-43  3.766182819e+16  
   2.396  1.026419938e-43  3.763938915e+16  
   2.397  1.028536319e-43  3.761695662e+16  
   2.398  1.030654555e-43  3.759453062e+16  
   2.399  1.032774647e-43  3.757211116e+16  
   2.4    1.034896594e-43  3.754969823e+16  
   2.401  1.037020397e-43  3.752729184e+16  
   2.402  1.039146056e-43  3.7504892e+16    
   2.403  1.041273572e-43  3.74824987e+16   
   2.404  1.043402943e-43  3.746011196e+16  
   2.405  1.045534171e-43  3.743773177e+16  
   2.406  1.047667256e-43  3.741535814e+16  
   2.407  1.049802199e-43  3.739299108e+16  
   2.408  1.051938998e-43  3.737063059e+16  
   2.409  1.054077655e-43  3.734827668e+16  
   2.41   1.056218169e-43  3.732592934e+16  
   2.411  1.058360541e-43  3.730358858e+16  
   2.412  1.060504771e-43  3.728125441e+16  
   2.413  1.06265086e-43   3.725892684e+16  
   2.414  1.064798807e-43  3.723660585e+16  
   2.415  1.066948612e-43  3.721429147e+16  
   2.416  1.069100276e-43  3.719198368e+16  
   2.417  1.0712538e-43    3.716968251e+16  
   2.418  1.073409182e-43  3.714738795e+16  
   2.419  1.075566424e-43  3.71251e+16      
   2.42   1.077725526e-43  3.710281867e+16  
   2.421  1.079886487e-43  3.708054397e+16  
   2.422  1.082049309e-43  3.705827589e+16  
   2.423  1.08421399e-43   3.703601445e+16  
   2.424  1.086380532e-43  3.701375964e+16  
   2.425  1.088548935e-43  3.699151147e+16  
   2.426  1.090719198e-43  3.696926995e+16  
   2.427  1.092891322e-43  3.694703508e+16  
   2.428  1.095065307e-43  3.692480686e+16  
   2.429  1.097241153e-43  3.690258529e+16  
   2.43   1.099418861e-43  3.688037039e+16  
   2.431  1.101598431e-43  3.685816215e+16  
   2.432  1.103779862e-43  3.683596058e+16  
   2.433  1.105963156e-43  3.681376568e+16  
   2.434  1.108148311e-43  3.679157746e+16  
   2.435  1.110335329e-43  3.676939593e+16  
   2.436  1.11252421e-43   3.674722107e+16  
   2.437  1.114714953e-43  3.672505291e+16  
   2.438  1.116907559e-43  3.670289144e+16  
   2.439  1.119102028e-43  3.668073666e+16  
   2.44   1.121298361e-43  3.665858859e+16  
   2.441  1.123496556e-43  3.663644722e+16  
   2.442  1.125696616e-43  3.661431257e+16  
   2.443  1.127898539e-43  3.659218462e+16  
   2.444  1.130102326e-43  3.65700634e+16   
   2.445  1.132307977e-43  3.654794889e+16  
   2.446  1.134515492e-43  3.652584111e+16  
   2.447  1.136724872e-43  3.650374006e+16  
   2.448  1.138936116e-43  3.648164574e+16  
   2.449  1.141149225e-43  3.645955816e+16  
   2.45   1.143364199e-43  3.643747732e+16  
   2.451  1.145581038e-43  3.641540323e+16  
   2.452  1.147799742e-43  3.639333588e+16  
   2.453  1.150020312e-43  3.637127529e+16  
   2.454  1.152242747e-43  3.634922145e+16  
   2.455  1.154467048e-43  3.632717438e+16  
   2.456  1.156693214e-43  3.630513407e+16  
   2.457  1.158921247e-43  3.628310053e+16  
